Image,Vehicle,Plate_Crop,Plate_Text,OCR_Confidence,Plate_Detection_Confidence
img1.png,1,img1_vehicle_1_plate_1.jpg,FV9974,0.53,0.78
img10.jpg,1,img10_vehicle_1_plate_1.jpg,MH20EE7602,0.74,0.67
img2.jpg,1,img2_vehicle_1_plate_1.jpg,Unreadable,0.00,0.77
img3.jpg,1,img3_vehicle_1_plate_1.jpg,Unreadable,0.00,0.74
img4.jpg,1,img4_vehicle_1_plate_1.jpg,MHOZEP57L0,0.32,0.74
img5.jpg,1,img5_vehicle_1_plate_1.jpg,[02218407,0.28,0.66
img6.jpg,1,img6_vehicle_1_plate_1.jpg,Unreadable,0.00,0.82
img7.jpg,2,img7_vehicle_2_plate_1.jpg,Unreadable,0.00,0.73
img8.jpg,1,img8_vehicle_1_plate_1.jpg,BU.1852,0.99,0.81
img9.jpg,1,img9_vehicle_1_plate_1.jpg,NHO2DS9365,0.36,0.78
